,TW,global,Thailand,Japan,Hong Kong,"Korea, South",Philippines,US,Canada,Australia,Austria,Vietnam,Germany,Netherlands,France,Malaysia,Macau,Cambodia,Russia,United Arab Emirates,United Kingdom,Turkey,Singapore,Indonesia,TPE entry
2020-03-25,1.0,0.2996692139606196,0.5691489361702128,0.09819121447028424,0.3,0.11750881316098707,0.15613382899628253,0.3327622416270587,0.16594672426205903,0.6438631790744467,0.23088569265707798,0.3684210526315789,0.6255589211019761,0.637444279346211,0.11091660769488622,0.7319148936170212,0.8333333333333334,0.16129032258064516,0.01532963415781059,0.14991181657848324,0.16901408450704225,0.10918645387310237,0.05119214586255259,0.21487603305785125,0.107925
2020-03-26,0.85,0.37407192785484045,0.5904255319148937,0.06890611541774333,0.5375,0.12220916568742655,0.13197026022304834,0.4990051950922958,0.2847372210223182,0.89738430583501,1.0,0.631578947368421,0.9541324102120294,0.7652303120356612,0.14715631867108644,1.0,0.16666666666666666,0.0,0.017116524028966424,0.0,0.2487117828924768,0.23277539898793304,0.0364656381486676,0.2128099173553719,0.087675
2020-03-27,0.75,0.38473193051078675,0.48404255319148937,0.06976744186046512,0.825,0.10693301997649823,0.17843866171003717,0.49245606278324305,0.23038156947444205,0.670020120724346,0.5662376987130961,0.5263157894736842,1.0,0.8759286775631501,0.1434317851689076,0.5531914893617021,0.3333333333333333,0.0967741935483871,0.018433179723502304,0.12698412698412698,0.335852513454712,0.4026858699883223,0.034361851332398316,0.31611570247933884,0.083875
2020-03-28,0.8,0.40680646602199605,0.5797872340425532,0.1937984496124031,0.525,0.17156286721504113,0.5055762081784386,0.5473637669945839,0.32181425485961124,1.0,0.4647993943981832,0.5789473684210527,0.9842780902928026,0.8707280832095097,0.1751648106074714,0.676595744680851,0.6666666666666666,0.0,0.021442678453870028,0.1111111111111111,0.29394251688995765,0.33164655507979757,0.04908835904628331,0.22520661157024793,0.064275
2020-03-29,0.75,0.35877609165429236,0.7606382978723404,0.14900947459086994,1.0,0.12338425381903642,0.637546468401487,0.5373051840389079,0.25341972642188626,0.6921529175050302,0.39137017411052233,0.7368421052631579,0.6346458964373287,0.825408618127786,0.09694960706171551,0.6382978723404256,0.0,0.12903225806451613,0.025392645537477665,0.17989417989417988,0.28260620634375355,0.35325029194239005,0.029453015427769985,0.26859504132231404,0.06125
2020-03-30,0.4,0.375514589595934,0.723404255319149,0.0,0.5125,0.09165687426556991,0.2379182156133829,0.5781474521940975,0.40244780417566595,0.7585513078470825,0.6283118849356548,0.7894736842105263,0.6908986008942738,0.6589895988112927,0.16618868486722038,0.6638297872340425,0.16666666666666666,0.12903225806451613,0.028402144267845385,0.07231040564373897,0.3060803847475094,0.3133514986376022,0.024544179523141654,0.2665289256198347,0.050675
2020-03-31,0.8,0.4533700336822281,0.675531914893617,0.07493540051679587,0.4,0.14688601645123384,1.0,0.7278932242732398,0.4064074874010079,0.3983903420523139,0.4254352763058289,0.47368421052631576,0.7100822154911294,0.6315007429420505,0.2851875302618347,0.5957446808510638,0.5,0.06451612903225806,0.04711746449731966,0.09347442680776014,0.34673079125157447,0.526274815103153,0.03295932678821879,0.23553719008264462,0.06855
2020-04-01,0.35,0.4529716417369889,0.6382978723404256,0.1937984496124031,0.6375,0.11868390129259694,0.42193308550185876,0.6927710843373494,0.3718502519798416,0.6096579476861167,0.40196820590461774,0.3157894736842105,0.8746574354536276,0.7644873699851411,0.1833215389772431,0.6042553191489362,0.0,0.0,0.041380607542556194,0.26455026455026454,0.5020038932783694,0.4180615025301674,0.051893408134642355,0.30785123966942146,0.048225
2020-04-02,0.5,0.48789129936136566,0.5531914893617021,0.2730404823428079,0.4625,0.1045828437132785,0.5985130111524164,0.8395048082237205,0.6205903527717782,0.5110663983903421,0.31642694928084786,0.7894736842105263,0.9984133852589067,0.8112927191679049,0.08119483034749897,0.8851063829787233,0.0,0.03225806451612903,0.07251011003479733,0.37037037037037035,0.4933012710408794,0.47800700661736084,0.034361851332398316,0.2334710743801653,0.04715
2020-04-03,0.45,0.4974828872550795,0.5478723404255319,0.10508182601205857,0.5375,0.10105757931844889,0.7156133828996283,0.8772244943075053,0.4150467962562995,0.4305835010060362,0.29901589704769116,0.21052631578947367,0.9180729842780903,0.7674591381872214,0.19639465156989086,0.9234042553191489,0.3333333333333333,0.12903225806451613,0.0565221480297188,0.42328042328042326,0.5171189740066415,0.5422343324250681,0.0455820476858345,0.4049586776859504,0.03495
